
transcript15:b'new' b'yale' b'students' b'people' b'sort' b'okay' b'town' b'lecture' b'way' b'haven' 
--------1 paragraph: b'lecture' b'insane' b'something' b'okay' b'day' b'confession' b'freeman' b'joanne' b'professor' 
--------2 paragraph: b'revolution' b'actions' b'people' b'bit' b'leadership' b'citizenship' b'lecture' b'citizens' b'sense' b'approach' 
--------3 paragraph: b'sort' b'hand' b'mass' b'revolution' b'environment' b'elite' b'discussion' b'way' b'public' b'action' 
--------4 paragraph: b'mob' b'gouverneur' b'morris' b'so' b'okay' b'domination' b'dominions' b'britain' b'plan' b'great' 
--------5 paragraph: b'things' b'course' b'discussion' b'lecture' b'today' b'all' b'syllabus' b'feeling' b'revolution' b'december' 
--------6 paragraph: b'lecture' b'research' b'people' b'place' b'sort' b'leadership' b'way' b'things' b"that's" b'something' 
--------7 paragraph: b'action' b'revolution' b'ways' b'morning' b'thought' b'haven' b'way' b'leadership' b'new' b'citizenship' 
--------8 paragraph: b'new' b'haven' b'britain' b'great' b'colonies' b'conflict' b'morning' b'point' b'lecture' b'action' 
--------9 paragraph: b'new' b'haven' b'way' b'today' b'students' b'lecture' b'invasion' b'story' b'attack' b'families' 
--------10 paragraph: b'yale' b'new' b'students' b'part' b'haven' b'opening' b'revolution' b'lecture' b'today' b'protest' 
--------11 paragraph: b'proclamation' b'yale' b'class' b'idea' b'acts' b'townshend' b'response' b'occasion' 
--------12 paragraph: b'cloaths' b'homespun' b'time' b'friends' b'parents' b'resolution' b'notice' b'country' b'manufacturers' b'degree' 
--------13 paragraph: b'protest' b'clothes' b'okay' b'parents' b'cloth' b'acts' b'laughs' b'singularity' b'students' b'feeling' 
--------14 paragraph: b'students' b'colleges' b'acts' b'variety' b'places' b'seedbeds' b'yale' b'sort' b'actually' b'feelings' 
--------15 paragraph: b'tea' b'town' b'way' b'houses' b'right' b'something' b'frolic' b'laughter' b'okay' b'[' 
--------16 paragraph: b'students' b'commencement' b'point' b'possibility' b'independence' b'college' b'debate' b'speeches' b'exercise' b'ceremony' 
--------17 paragraph: b'students' b'college' b'loyalist' b'officer' b'yale' b'parent' b'nurse' b'new' b'rebellion' b'haven' 
--------18 paragraph: b'colleges' b'today' b'right' b'wood' b'pieces' b'sort' b'everybody' b'lecture' b'rebellion' b'times' 
--------19 paragraph: b'students' b'yale' b'wilkes' b'rally' b'research' b'town' b'number' b'john' b'laughter' b'liberty' 
--------20 paragraph: b'new' b'haven' b'actions' b'town' b'colonies' b'unit' b'england' b'road' b'relations' b'something' 
--------21 paragraph: b'case' b'kind' b'action' b'step' b'people' b'new' b'haven' b'again' b'family' b'property' 
--------22 paragraph: b'connecticut' b'state' b'assembly' b'unit' b'company' b'liberties' b'rights' b'support' b'power' b'country' 
--------23 paragraph: b'something' b'sixty' b'case' b'call' b'recognition' b'state' b'again' b'hey' b'ourselves' b'happens' 
--------24 paragraph: b'barber' b'chapel' b'grocer' b'street' b'corner' b'person' b'time' b'course' b'grocers' b'lawyer' 
