
transcript08-:
--------Lecture: b'cells' b'cell' b'system' b'antibodies' b'immune' b'action' b'molecules' b'antigen' b'membrane' b'time' 
--------1 paragraph: b'system' b'concepts' b'time' b'systems' b'immune' b'lead' b'week' b'vaccines' b'immunology' b'way' 
--------2 paragraph: b'cell' b'shapes' b'body' b'function' b'case' b'shape' b'neuron' b'set' b'place' b'proteins' 
--------3 paragraph: b'cells' b'system' b'brain' b'cell' b'complexity' b'information' b'region' b'direction' b'regions' b'part' 
--------4 paragraph: b'information' b'cell' b'dendrites' b'detail' b'body' b'cells' b'axon' b'flow' b'unit' b'direction' 
--------5 paragraph: b'processes' b'system' b'brain' b'cord' b'tips' b'fingers' b'muscles' b'toes' b'cells' b'feet' 
--------6 paragraph: b'membrane' b'side' b'difference' b'action' b'membranes' b'cell' b'detail' b'subject' b'orient' b'sort' 
--------7 paragraph: b'potential' b'membrane' b'sodium' b'cells' b'cell' b'voltage' b'millivolts' b'forth' b'ions' b'potassium' 
--------8 paragraph: b'ion' b'channels' b'membrane' b'movement' b'state' b'potential' b'balance' b'changes' b'sodium' b'voltage' 
--------9 paragraph: b'change' b'cell' b'state' b'potential' b'signal' b'membrane' b'cells' b'system' b'channel' b'graph' 
--------10 paragraph: b'change' b'cell' b'potential' b'channels' b'dendrites' b'action' b'information' b'voltage' b'region' b'part' 
--------11 paragraph: b'heart' b'action' b'cell' b'potential' b'bit' b'potentials' b'example' b'cells' b'muscle' b'brain' 
--------12 paragraph: b'heart' b'cell' b'cells' b'way' b'decisions' b'axon' b'contact' b'point' b'reason' b'making' 
--------13 paragraph: b'cell' b'space' b'cells' b'synapse' b'dendrite' b'axon' b'neuron' b'region' b'system' b'meets' 
--------14 paragraph: b'neurotransmitters' b'signals' b'molecules' b'vesicles' b'process' b'point' b'axon' b'system' b'serotonin' b'chemicals' 
--------15 paragraph: b'membrane' b'cell' b'end' b'axon' b'neurotransmitter' b'receptors' b'words' b'synapse' b'characteristic' b'ligands' 
--------16 paragraph: b'perimeter' b'ligand' b'just' b'student' 
--------17 paragraph: b'vesicles' b'neurotransmitters' b'membrane' b'systems' b'neurotransmitter' b'cell' b'cells' b'contents' b'ways' b'characteristics' 
--------18 paragraph: b'activity' b'activation' b'release' b'process' b'ions' b'solution' b'wire' b'lamp' b'signals' b'transmission' 
--------19 paragraph: b'signal' b'ion' b'channel' b'neurotransmitter' b'way' b'potential' b'receptor' b'receptors' b'gap' b'chemical' 
--------20 paragraph: b'diversity' b'connections' b'chemical' b'system' b'potential' b'cell' b'decision' b'cells' b'signals' b'action' 
--------21 paragraph: b'outcomes' b'study' b'system' b'mechanisms' b'concepts' b'point' b'time' b'immune' b'bacteria' b'viruses' 
--------22 paragraph: b'host' b'part' b'substances' b'molecules' b'set' b'cells' b'molecule' b'bacterium' b"'foreign" b'elements' 
--------23 paragraph: b'antigens' b'response' b'antigen' b'molecules' b'pieces' b'molecule' b'belong' b'body' b'bit' b'cells' 
--------24 paragraph: b'systems' b'diseases' b'people' b'infections' b'fungi' b'waters' b'examples' b'river' b'aids' b'worm' 
--------25 paragraph: b'responses' b'system' b'response' b'time' b'assaults' b'immune' b'inside' b'viruses' b'virus' b'innate' 
--------26 paragraph: b'people' b'study' b'immunology' b'cells' b'works' b'system' b'book' b'immune' b'bit' b'innate' 
--------27 paragraph: b'ones' b'humours' b'immune' b'response' b'balance' b'system' b'responses' b'kind' b'types' b'threat' 
--------28 paragraph: b'antibodies' b'production' b'response' b'minute' b'body' b'molecules' b'antigens' b'cells' b'lot' b'week' 
--------29 paragraph: b'response' b'cells' b'antigen' b'antibody' b'means' b'cell' b'system' b'immune' b'minutes' b'population' 
--------30 paragraph: b'immune' b'system' b'body' b'pathogen' b'type' b'moment' b'respond' b'way' b'something' b'pathogens' 
--------31 paragraph: b'cells' b'ways' b'immunity' b'microorganisms' b'end' b'cell' b'damage' b'reproduce' b'result' b'reason' 
--------32 paragraph: b'virus' b'host' b'cell' b'cells' b'viruses' b'machinery' b'dna' b'synthesis' b'transcription' b'translation' 
--------33 paragraph: b'cells' b'mhc' b'system' b'things' b'immune' b'cell' b'antibodies' b'complex' b'person' b'histocompatibility' 
--------34 paragraph: b'combination' b'cells' b'world' b'sort' b'surface' b'cell' b'molecules' b'combinations' b'yourselves' b'proteins' 
--------35 paragraph: b'cell' b'proteins' b'system' b'response' b'kinds' b'so' b'maybe' b'cells' b'something' b'surface' 
--------36 paragraph: b'bacteria' b'cells' b'system' b'innate' b'immune' b'antigen' b'mhc' b'cut' b'antigens' b'macrophages' 
--------37 paragraph: b'molecules' b'details' b'receptors' b'ones' b'way' b'time' b'characteristics' b'variety' b'communication' b'order' 
--------38 paragraph: b'cells' b'receptor' b'virus' b'influenza' b'respiratory' b'antigens' b'types' b't-cell' b'type' b'peptides' 
--------39 paragraph: b'cells' b'cell' b'system' b'cytotoxic' b'proliferation' b'signal' b'virus' b'immune' b"'toxic" b'means' 
--------40 paragraph: b'cells' b'effect' b'bacteria' b'viruses' b'recognition' b'kind' b'antibodies' b'helper' b'antibody' b'responses' 
--------41 paragraph: b'section' b'sections' b'antibodies' b'year' b'parts' b'course' b'end' b'meeting' b'today' b'afterwards' 
--------42 paragraph: b'antigen' b'immature' b'time' b'antibodies' b'differentiation' b'slide' b'subset' b'mature' b'stimulation' b'results' 
