
transcript07-:
--------Lecture: b'cell' b'cells' b'system' b'molecules' b'example' b'receptor' b'ligand' b'receptors' b'protein' b'signal' 
--------1 paragraph: b'system' b'week' b'distances' b'sort' b'communication' b'use' b'immune' b'cell' b'organism' b'engineering' 
--------2 paragraph: b'physiology' b'engineering' b'week' b'biomedical' b'chapters' b'system' b'basics' b'organization' b'kind' b'semester' 
--------3 paragraph: b'system' b'environment' b'systems' b'way' b'examples' b'body' b'respiratory' b'operation' b'context' b'diagram' 
--------4 paragraph: b'environment' b'order' b'composition' b'ph' b'life' b'homeostasis' b'temperature' b'systems' b'physiology' b'terms' 
--------5 paragraph: b'carbon' b'oxygen' b'system' b'respiratory' b'weeks' b'couple' b'product' b'bodies' b'order' b'dioxide' 
--------6 paragraph: b'composition' b'body' b'balance' b'water' b'kidney' b'addition' b'bicarbonate' b'ion' b'day' b'sodium' 
--------7 paragraph: b'environment' b'materials' b'homeostasis' b'ability' b'things' b'nucleotides' b'acids' b'amino' b'quantities' b'metabolism' 
--------8 paragraph: b'blood' b'body' b'system' b'circulatory' b'point' b'function' b'vessels' b'work' b'cells' b'skin' 
--------9 paragraph: b'system' b'systems' b'signals' b'endocrine' b'example' b'blood' b'status' b'body' b'information' b'kidneys' 
--------10 paragraph: b'system' b'body' b'endocrine' b'systems' b'layers' b'dispersal' b'course' b'core' b'sort' b'functions' 
--------11 paragraph: b'cell' b'bilayer' b'cells' b'information' b'way' b'molecules' b'signals' b'ways' b'membrane' b'inside' 
--------12 paragraph: b'cell' b'molecules' b'source' b'membrane' b'cells' b'glucose' b'membranes' b'lecture' b'bit' b'energy' 
--------13 paragraph: b'cell' b'region' b'domain' b'receptors' b'way' b'membrane' b'molecules' b'surface' b'part' b'protein' 
--------14 paragraph: b'receptor' b'kind' b'cell' b'chemical' b'interaction' b'membrane' b'molecules' b'form' b'signal' b'terminology' 
--------15 paragraph: b'molecules' b'antibodies' b'interaction' b'immune' b'system' b'receptors' b'ligand' b'kind' b'example' b'bonds' 
--------16 paragraph: b'enzyme' b'cell' b'changes' b'reactions' b'enzymes' b'receptor' b'signal' b'molecules' b'messenger' b'sort' 
--------17 paragraph: b'response' b'cell' b'signal' b'change' b'receptor' b'binding' b'responses' b'glucose' b'environment' b'ligand' 
--------18 paragraph: b'cell' b'receptor' b'signal' b'thousands' b'response' b'information' b'one' b'pathway' b'chemical' b'ligand' 
--------19 paragraph: b'signal' b'thing' b'example' b'concentration' b'ligand' b'kind' b'drum' b'receptor' b'cell' b'analogy' 
--------20 paragraph: b'insulin' b'ligand' b'drug' b'ligands' b'agonists' b'agonist' b'classes' b'responses' b'receptors' b'hormone' 
--------21 paragraph: b'ligand' b'dopamine' b'drugs' b'insulin' b'aldopa' b'sometimes' b'example' b'antagonist' b'people' b'agonist' 
--------22 paragraph: b'ligand' b'receptor' b'cancers' b'drug' b'signal' b'cells' b'growth' b'example' b'types' b'function' 
--------23 paragraph: b'receptors' b'system' b'blood' b'pressure' b'heartbeat' b'heart' b'families' b'biology' b'advances' b'lots' 
--------24 paragraph: b'channel' b'ion' b'physiology' b'ones' b'channels' b'top' b'bit' b'heart' b'beating' b'study' 
--------25 paragraph: b'ligand' b'work' b'muscle' b'way' b'ion' b'gate' b'brain' b'nerve' b'neurons' b'signal' 
--------26 paragraph: b'detail' b'receptor' b'cell' b'molecules' b'signaling' b'bit' b'book' b'interaction' b'changes' b'ligand' 
--------27 paragraph: b'enzyme' b'kinase' b'molecule' b'cell' b'signal' b'receptor' b'activity' b'ligand' b'receptors' b'reaction' 
--------28 paragraph: b'amp' b'enzyme' b'molecule' b'atp' b'cell' b'cells' b'receptor' b'ligand' b'binding' b'messenger' 
--------29 paragraph: b'amp' b'cell' b'receptors' b'receptor' b'example' b'thing' b'enzyme' b'messengers' b'systems' b'ligand' 
--------30 paragraph: b'protein' b'phosphate' b'amino' b'acids' b'proteins' b'example' b'tyrosine' b'state' b'means' b'reaction' 
--------31 paragraph: b'structure' b'proteins' b'change' b'protein' b'position' b'function' b'state' b'something' b'fact' b'solution' 
--------32 paragraph: b'protein' b'cell' b'position' b'mechanism' b'cases' b'kinases' b'reactions' b'version' b'enzyme' b'chemical' 
--------33 paragraph: b'changes' b'proteins' b'egg' b'tou' b'chemistry' b'structure' b'substance' b'example' b'turns' b'denature' 
