
transcript24-:
--------Lecture: b'cancer' b'cells' b'drug' b'radiation' b'tumor' b'body' b'cell' b'people' b'tissue' b'time' 
--------1 paragraph: b'course' b'thursday' b'point' b'progress' b'subject' b'areas' b'cancer' b'questions' b'discussion' b'any' 
--------2 paragraph: b'cancer' b'information' b'part' b'people' b'cancers' b'disease' b'society' b'cases' b'statistics' b'progress' 
--------3 paragraph: b'cancer' b'deaths' b'females' b'cases' b'number' b'website' b'males' b'statistics' b'sort' b'society' 
--------4 paragraph: b'cancer' b'growth' b'cells' b'mass' b'countries' b'cause' b'division' b'so' b'cell' b'circumstances' 
--------5 paragraph: b'cancer' b'cancers' b'environment' b'kinds' b'papillomavirus' b'vaccine' b'viruses' b'thing' b'cause' b'growth' 
--------6 paragraph: b'cancer' b'fact' b'sites' b'progress' b'rate' b'men' b'disease' b'years' b'others' b'attention' 
--------7 paragraph: b'deaths' b'diseases' b'cancer' b'stay' b'progress' b'point' b'heart' b'circulatory' b'disease' b'system' 
--------8 paragraph: b'cancer' b'tobacco' b'smoking' b'cause' b'use' b'cigarette' b'chemicals' b'kind' b'tars' b'thing' 
--------9 paragraph: b'women' b'men' b'cigarette' b'first' b'cancer' b'lung' b'increase' b'years' b'period' b'time' 
--------10 paragraph: b'cancer' b'cigarettes' b'women' b'lung' b'association' b'ability' b'epidemiology' b'male' b'smokers' b'manufacturers' 
--------11 paragraph: b'cancer' b'expectancy' b'colon' b'women' b'men' b'pancreas' b'death' b'chemicals' b'exposure' b'cancers' 
--------12 paragraph: b'cells' b'culture' b'cancer' b'number' b'rate' b'cancers' b'weeks' b'tissue' b'mechanisms' b'characteristics' 
--------13 paragraph: b'cells' b'skin' b'becomes' b'origin' b'organ' b'cancer' b'tumors' b'example' b'shape' b'dividing' 
--------14 paragraph: b'cells' b'liver' b'communication' b'brain' b'tissue' b'immature' b'loss' b'life' b'cancer' b'way' 
--------15 paragraph: b'cells' b'cancer' b'stem' b'tumor' b'people' b'types' b'linkages' b'bulk' b'tumors' b'tissue' 
--------16 paragraph: b'cells' b'cancer' b'death' b'structure' b'tissue' b'growth' b'time' b'cell' b'regulation' b'problem' 
--------17 paragraph: b'cell' b'site' b'size' b'millimeter' b'tumor' b'things' b'cancer' b'tissue' b'control' b'nutrients' 
--------18 paragraph: b'tumor' b'blood' b'growth' b'stage' b'people' b'cancer' b'process' b'tumors' b'size' b'cancers' 
--------19 paragraph: b'tumor' b'site' b'body' b'circulation' b'process' b'tumors' b'a' b'cartoon' b'minute' b'places' 
--------20 paragraph: b'bladder' b'cancer' b'tumor' b't' b'lining' b'wall' b'thickness' b't4' b'methods' b'time' 
--------21 paragraph: b'tumor' b'stages' b'site' b'slides' b'tumors' b'organs' b'chemotherapy' b'end' b'kind' b'radiation' 
--------22 paragraph: b'cancer' b'treatment' b'methods' b'years' b'engineers' b'course' b'things' b'development' b'time' b'diagnosis' 
--------23 paragraph: b'breast' b'mammogram' b'kind' b'diagnosis' b'engineering' b'example' b'stage' b'cancers' b'decade' b'mammography' 
--------24 paragraph: b'cells' b'pap' b'protein' b'someone' b'lot' b'shapes' b'swab' b'patient' b'region' b'microscope' 
--------25 paragraph: b'blood' b'cancer' b'prostate' b'psa' b'kinds' b'cancers' b'molecules' b'examples' b'thing' b'signatures' 
--------26 paragraph: b'prostate' b'device' b'blood' b'ultrasound' b'tissue' b'approach' b'experience' b'smear' b'physician' b'diagram' 
--------27 paragraph: b'cancer' b'colon' b'lung' b'technology' b'body' b'sites' b'engineering' b'terms' b'variety' b'lot' 
--------28 paragraph: b'cancer' b'polyps' b'surgery' b'colon' b'growth' b'surgeon' b'form' b'brain' b'lung' b'analysis' 
--------29 paragraph: b'radiation' b'body' b'frequency' b'forms' b'pictures' b'molecules' b'rays' b'inside' b'so' b'atoms' 
--------30 paragraph: b'radiation' b'cells' b'damage' b'electrons' b'atoms' b'sections' b'tissues' b'skin' b'body' b'forms' 
--------31 paragraph: b'cells' b'radiation' b'dose' b'gy' b'%' b'bone' b'marrow' b'fraction' b'kinds' b'dish' 
--------32 paragraph: b'cells' b'radiation' b'problem' b'type' b'example' b'something' b'marrow' b'ones' b'body' b'sensitivities' 
--------33 paragraph: b'radiation' b'site' b'tissue' b'job' b'beam' b'methods' b'lenses' b'doses' b'forth' b'weeks' 
--------34 paragraph: b'tissue' b'radiation' b'dots' b'kind' b'material' b'stars' b'seed' b'tumor' b'metal' b'example' 
--------35 paragraph: b'radiation' b'mechanisms' b'cells' b'drugs' b'body' b'example' b'regions' b'study' b'approaches' b'repair' 
--------36 paragraph: b'dna' b'slide' b'leisure' b'drugs' b'idea' b'breadth' b'knowledge' b'chemotherapy' b'cells' b'cell' 
--------37 paragraph: b'cells' b'effect' b'hair' b'skin' b'tissues' b'bone' b'cell' b'growth' b'problems' b'intestine' 
--------38 paragraph: b'tumor' b'drug' b'dose' b'delivery' b'drugs' b'operating' b'chemotherapy' b'room' b'time' b'brain' 
--------39 paragraph: b'cell' b'class' b'biology' b'cancer' b'mechanisms' b'outside' b'signals' b'messages' b'kinases' b'week' 
--------40 paragraph: b'tyrosine' b'molecule' b'drug' b'kinase' b'action' b'body' b'rest' b'life' b'cell' b'kinases' 
--------41 paragraph: b'atp' b'use' b'tumors' b'kinase' b'drug' b'design' b'examples' b'example' b'protein' b'subclasses' 
--------42 paragraph: b'antibodies' b'receptor' b'breast' b'antibody' b'body' b'order' b'vaccines' b'concept' b'weeks' b'so' 
--------43 paragraph: b'tumor' b'breast' b'cell' b'antibody' b'receptor' b'surface' b'immune' b'system' b'response' b'function' 
--------44 paragraph: b'point' b'lot' b'cancer' b'drugs' b'terms' b'sense' b'process' b'bit' b'lecture' b'order' 
--------45 paragraph: b'cancer' b'drug' b'testing' b'test' b'animals' b'colon' b'cells' b'discovery' b'phase' b'properties' 
--------46 paragraph: b'drug' b'animals' b'people' b'x' b'preparation' b'my' b'discovery' b'vitro' b'aspects' b'step' 
--------47 paragraph: b'drug' b'application' b'people' b'ind' b'data' b'investigational' b'years' b'new' b'medicine' b'approval' 
--------48 paragraph: b'patients' b'phase' b'people' b'drug' b'number' b'effectiveness' b'ii' b'disease' b'range' b'dose' 
--------49 paragraph: b'disease' b'patients' b'studies' b'well' b'hundreds' b'thousands' b'course' b'chance' b'cancer' b'effect' 
--------50 paragraph: b'study' b'vaccine' b'how' b'disease' b'patients' b'iii' b'phase' b'size' b'thousands' b'hundreds' 
--------51 paragraph: b'drug' b'physicians' b'drugs' b'side' b'effects' b'population' b'years' b'permission' b'research' b'track' 
--------52 paragraph: b'drug' b'studies' b'compounds' b'lot' b'money' b'x' b'animals' b'work' b'volunteers' b'safety' 
--------53 paragraph: b'people' b'drugs' b'techniques' b'opportunities' b'system' b'town' b'disease' b'anything' b'culture' b'study' 
--------54 paragraph: b'sort' b'cancer' b'treatment' b'poster' b'website' b'presentation' b'thursday' b'engineering' b'talks' b'point' 
--------55 paragraph: 
