
transcript17-:
--------Lecture: b'kidney' b'sodium' b'water' b'concentration' b'glomerulus' b'urine' b'tubule' b'filtration' b'blood' b'molecules' 
--------1 paragraph: b'chapter' b'physiology' b'environment' b'homeostasis' b'body' b'ability' b'function' b'perspective' b'whole' b'class' 
--------2 paragraph: b'l' b'ability' b'waste' b'kidney' b'things' b'day' b'life' b'body' b'lecture' b'kidneys' 
--------3 paragraph: b'time' b'sort' b'kidney' b'system' b'circulatory' b'heart' b'brain' b'systems' b'details' b'bit' 
--------4 paragraph: b'kidney' b'sort' b'region' b'layer' b'leaves' b'layers' b'surface' b'vein' b'inner' b'outer' 
--------5 paragraph: b'cortex' b'kidney' b'medulla' b'nephron' b'glomerulus' b'loop' b'henle' b'sort' b'structure' b'nephrons' 
--------6 paragraph: b'capsule' b'glomerulus' b'tubules' b'proximal' b'cortex' b'tubule' b'fluid' b'medulla' b'capillaries' b'place' 
--------7 paragraph: b'sodium' b'tubule' b'lot' b'space' b'tubules' b'kidney' b'bicarbonate' b'potassium' b'proximal' b'parts' 
--------8 paragraph: b'blood' b'tubules' b'urine' b'diagram' b'sodium' b'gradients' b'order' b'lot' b'vessels' b'result' 
--------9 paragraph: b'functions' b'nephron' b'function' b'cells' b'details' b'water' b'flavor' b'sodium' b'parts' b'groups' 
--------10 paragraph: b'nephrons' b'glomerulus' b'kidney' b'glomeruli' b'region' b'henle' b'loops' b'tubules' b'sense' b'distal' 
--------11 paragraph: b'branch' b'branches' b'blood' b'artery' b'arrow' b'course' b'glomerulus' b'cortex' b'point' b'nephrons' 
--------12 paragraph: b'pressure' b'concentration' b'glomerulus' b'filtration' b'plasma' b'arrow' b'space' b'filtrate' b'molecule' b'as' 
--------13 paragraph: b'tubule' b'distal' b'diagram' b'sort' b'filtrate' b'proximal' b'loop' b'henle' b'arrows' b'turn' 
--------14 paragraph: b'kidney' b'gradients' b'water' b'loop' b'concentration' b'urine' b'gradient' b'nephron' b'fluid' b'reason' 
--------15 paragraph: b'blood' b'amount' b'arteriole' b'capsule' b'bowman' b'duct' b'capillaries' b'tuft' b'times' b'urine' 
--------16 paragraph: b'glomerulus' b'pressure' b'nephron' b'capillaries' b'ability' b'sides' b'resistances' b'arteriole' b'length' b'diameters' 
--------17 paragraph: b'filtration' b'rate' b'pressure' b'kidney' b'surface' b'capillaries' b'filtrate' b'time' b'kidneys' b'picture' 
--------18 paragraph: b'blood' b'filtrate' b'glomerulus' b'tubule' b'molecules' b'things' b'arteriole' b'distal' b'kidneys' b'henle' 
