
transcript08:b'henry' b'king' b'church' b'england' b'protestant' b'marriage' b'thomas' b'reformation' b'years' b'pope' 
--------1 paragraph: b'handouts' b'today' b'ground' b'lot' b'well' b'right' b'wrightson' b'keith' b'professor' 
--------2 paragraph: b'state' b'church' b'england' b'english' b'act' b'course' b'crown' b'acts' b'queens' b'television' 
--------3 paragraph: b'reformation' b'protestant' b'process' b'change' b'generations' b'dimensions' b'hand' b'terms' b'reformations' b'series' 
--------4 paragraph: b'process' b'development' b'logic' b'details' b'rise' b'christopher' b'change' b'phase' b'reformation' b'people' 
--------5 paragraph: b'henry' b'brother' b'fact' b'katherine' b'wife' b'king' b'queen' b'stability' b'boleyn' b'note' 
--------6 paragraph: b'pope' b'matters' b'marriage' b'control' b'germany' b'idea' b'empire' b'honor' b'roman' b'kings' 
--------7 paragraph: b'pope' b'marriage' b'rome' b'england' b'cardinal' b'henry' b'control' b'case' b'church' b'privileges' 
--------8 paragraph: b'parliament' b'henry' b'pope' b'england' b'members' b'church' b'effect' b'none' b'universities' b'europe' 
--------9 paragraph: b'church' b'england' b'argument' b'henry' b'authority' b'pressure' b'bit' b'pounds' b'ideas' b'grant' 
--------10 paragraph: b'church' b'issue' b'matters' b'marriage' b'challenge' b'supremacy' b'catholic' b'papacy' b'royal' b'faith' 
--------11 paragraph: b'parliament' b'management' b'cromwell' b'wolsey' b'stage' b'man' b'king' b'thomas' b'law' b'impasse' 
--------12 paragraph: b'england' b'church' b'convocation' b'act' b'rome' b'annates' b'jurisdiction' b'exercise' b'petition' b'ordinaries' 
--------13 paragraph: b'henry' b'archbishop' b'king' b'anne' b'cranmer' b'confidence' b'january' b'divorce' b'december' b'cromwell' 
--------14 paragraph: b'king' b'september' b'henry' b'marriage' b'katherine' b'aragon' b'june' b'anne' b'england' b'appeals' 
--------15 paragraph: b'act' b'succession' b'marriage' b'england' b'schism' b'authority' b'supremacy' b'church' b'submission' b'clergy' 
--------16 paragraph: b'reform' b'reformation' b'thomas' b'rome' b'nothing' b'protestant' b'measure' b'context' b'minority' b'place' 
--------17 paragraph: b'time' b'king' b'abuses' b'henry' b'good' b'land' b'law' b'god' b'reformer' b'idolatry' 
--------18 paragraph: b'monasteries' b'attack' b'abuses' b'church' b'dissolution' b'houses' b'king' b'cranmer' b'pounds' b'year' 
--------19 paragraph: b'bible' b'henry' b'translations' b'english' b'great' b'frontispiece' b'grounds' b'crown' b'riches' b'durham' 
--------20 paragraph: b'jane' b'queen' b'marriage' b'male' b'birth' b'heir' b'anne' b'seymour' b'childbed' b'accusations' 
--------21 paragraph: b'henry' b'england' b'anne' b'thomas' b'cleves' b'cromwell' b'counselors' b'head' b'marriage' b'church' 
--------22 paragraph: b'henry' b'catholic' b'persecutor' b'religion' b'day' b'matters' b'years' b'demonstration' b'desires' b'opportunity' 
--------23 paragraph: b'howard' b'influence' b'katherine' b'norfolk' b'thomas' b'henry' b'faction' b'cranmer' b'advisers' b'duke' 
--------24 paragraph: b'seymour' b'henry' b'edward' b'minority' b'english' b'reformation' b'queen' b'archbishop' b'cult' b'cranmer' 
--------25 paragraph: b'influence' b'seymour' b'doubt' b'edward' b'protestant' b'views' b'context' b'power' b'archbishop' b'cranmer' 
--------26 paragraph: b'protestant' b'paintings' b'doctrine' b'religious' b'guilds' b'book' b'confraternities' b'goods' b'crown' b'communion' 
--------27 paragraph: b'prayer' b'book' b'rebels' b'change' b'king' b'dudley' b'figure' b'protestant' b'rebellion' b'favor' 
--------28 paragraph: b'protestant' b'worship' b'reform' b'church' b'england' b'reaction' b'process' b'regents' b'phase' b'vi' 
--------29 paragraph: b'duke' b'east' b'northumberland' b'henry' b'anglia' b'daughter' b'protestant' b'power' b'gentry' b'loss' 
--------30 paragraph: b'religion' b'fact' b'identity' b'part' b'actions' b'marriage' b'mother' b'dissolution' b'life' b'stage' 
--------31 paragraph: b'parliament' b'schism' b'england' b'london' b'marriage' b'philip' b'realm' b'church' b'italy' b'viii' 
--------32 paragraph: b'oxford' b'exile' b'latimer' b'church' b'cambridge' b'correction' b'protestant' b'ministers' b'members' b'ridley' 
--------33 paragraph: b'people' b'hand' b'london' b'southeast' b'religion' b'recantation' b'flames' b'hath' b'years' b'proportion' 
--------34 paragraph: b'persecution' b'standards' b'mary' b'resistance' b'level' b'implacability' b'religion' b'memory' b'time' b'divisions' 
