
transcript20-:
--------Lecture: b'radiation' b'body' b'object' b'image' b'things' b'way' b'something' b'film' b'patient' b'images' 
--------1 paragraph: b'week' b'body' b'systems' b'limitations' b'work' b'modes' b'sense' b'surface' b'yale' b'imagining' 
--------2 paragraph: b'image' b'body' b'way' b'limitations' b'methods' b'challenges' b'innovations' b'problems' b'year' b'lecture' 
--------3 paragraph: b'representation' b'object' b'images' b'imaging' b'properties' b'ways' b'photograph' b'objects' b'phenomenon' b'image' 
--------4 paragraph: b'image' b'body' b'radiation' b'picture' b'something' b'things' b'understanding' b'way' b'kind' b'equipment' 
--------5 paragraph: b'something' b'transduction' b'signal' b'weeks' b'kind' b'communication' b'concept' b'case' b'things' b'transducers' 
--------6 paragraph: b'spectrum' b'retina' b'image' b'light' b'radiation' b'wavelengths' b'object' b'wavelength' b'eye' b'part' 
--------7 paragraph: b'wavelengths' b'spectrum' b'goggles' b'radiation' b'wavelength' b'something' b'light' b'visualization' b'heat' b'sort' 
--------8 paragraph: b'ones' b'heat' b'radiation' b'temperature' b'wavelength' b'picture' b'companies' b'example' b'insulation' b'information' 
--------9 paragraph: b'radiation' b'skin' b'spectrum' b'sun' b'sense' b'effect' b'part' b'electro' b'shadow' b'different' 
--------10 paragraph: b'wavelengths' b'energy' b'frequency' b'wavelength' b'gamma' b'ultraviolet' b'end' b'amounts' b'waves' b'radiation' 
--------11 paragraph: b'size' b'waves' b'ultraviolet' b'microwaves' b'retina' b'example' b'people' b'ones' b'bacteria' b'rays' 
--------12 paragraph: b'atoms' b'rays' b'ions' b'radiation' b'things' b'dna' b'wavelengths' b'bodies' b'produce' b'exposure' 
--------13 paragraph: b'damage' b'exposure' b'radiation' b'rays' b'ions' b'spectrum' b'penetration' b'physics' b'disadvantage' b'sort' 
--------14 paragraph: b'body' b'people' b'something' b'things' b'well' b'science' b'dissection' b'bodies' b'cadavers' b'a' 
--------15 paragraph: b'film' b'objects' b'object' b'side' b'rays' b'properties' b'picture' b'book' b'diagram' b'experiment' 
--------16 paragraph: b'object' b'radiation' b'images' b'objects' b'others' b'part' b'discovery' b'physics' b'prize' b'nobel' 
--------17 paragraph: b'roentgen' b'ray' b'approach' b'textbooks' b'nomenclature' b'countries' b'rays' b'initially' b'one' b'imaging' 
--------18 paragraph: b'object' b'part' b'source' b'kind' b'film' b'material' b'piece' b'density' b'shadow' b'directions' 
--------19 paragraph: b'shadow' b'density' b'sun' b'material' b'object' b'ground' b'way' b'light' b'case' b'sense' 
--------20 paragraph: b'filter' b'pass' b'collimator' b'source' b'wavelengths' b'waves' b'generation' b'sources' b'beam' b'device' 
--------21 paragraph: b'image' b'film' b'directions' b'someone' b'example' b'direction' b'rays' b'hit' b'correlation' b'body' 
--------22 paragraph: b'screen' b'direction' b'fluorescent' b'detector' b'hit' b'object' b'pinholes' b'ones' b'something' b'spot' 
--------23 paragraph: b'film' b'piece' b'well' b'kind' b'anybody' b'way' b'college' b'chemicals' b'things' b'parents' 
--------24 paragraph: b'air' b'lungs' b'areas' b'body' b'regions' b'tissue' b'chest' b'pass' b'lighter' b'ribcage' 
--------25 paragraph: b'bone' b'dense' b'thicker' b'object' b'heart' b'side' b'water' b'lot' b'x-rays' b'well' 
--------26 paragraph: b'arch' b'spine' b'heart' b'region' b'absorption' b'sort' b'object' b'side' b'pictures' b'remember' 
--------27 paragraph: b'spine' b'part' b'arch' b'image' b'sarah' b'detail' b'imaging' b'front' b'example' b'things' 
--------28 paragraph: b'student' 
--------29 paragraph: b'projection' b'angles' b'way' b'images' b'bit' b'object' b'patient' b'image' b'things' b'direction' 
--------30 paragraph: b'damage' b'body' b'ions' b'radiation' b'chest' b'dose' b'years' b'risk' b'kind' b'where' 
--------31 paragraph: b'dose' b'radiation' b'image' b'structures' b'quality' b'lung' b'things' b'cost' b'bronchi' b'sensitivity' 
--------32 paragraph: b'waist' b'apron' b'radiation' b'part' b'detectors' b'do' b'chest' b'patients' b'ways' b'material' 
--------33 paragraph: b'line' b'radiation' b'angles' b'way' b'pictures' b'patient' b'machines' b'beam' b'ct' b'sort' 
--------34 paragraph: b'images' b'body' b'object' b'process' b'pictures' b'projection' b'number' b'picture' b'angles' b'ways' 
--------35 paragraph: b'slice' b'body' b'ct' b'image' b'shadow' b'way' b'radiation' b'between' b'plain' b'line' 
--------36 paragraph: b'lot' b'intestines' b'abdomen' b'picture' b'ribcage' b'bones' b'muscles' b'liver' b'radiation' b'bottom' 
--------37 paragraph: b'patient' b'machine' b'time' b'slice' b'father' b'images' b'picture' b'belt' b'so' b'conveyer' 
--------38 paragraph: b'bones' b'radiation' b'knee' b'body' b'picture' b'structure' b'example' b'brain' b'blood' b'injuries' 
--------39 paragraph: b'radiation' b'imaging' b'sort' b'thursday' b'thanks' b'good' b'risks' b'questions' b'forms' b'body' 
--------40 paragraph: 
