
transcript06:b'king' b'henry' b'authority' b'power' b'parliament' b'royal' b'law' b'people' b'court' b'part' 
--------1 paragraph: 
--------2 paragraph: b'tudors' b'power' b'structures' b'politics' b'today' b'well' b'wrightson' b'keith' b'professor' 
--------3 paragraph: b'henry' b'king' b'claim' b'throne' b'tudor' b'battlefield' b'iii' b'dynasty' b'crown' b'richmond' 
--------4 paragraph: b'power' b'part' b'authority' b'polity' b'henry' b'obedience' b'sources' b'compliance' b'obligation' b'capacity' 
--------5 paragraph: b'history' b'people' b'concern' b'institutions' b'development' b'readings' b'period' b'monarchy' b'politics' b'historians' 
--------6 paragraph: b'government' b'institutions' b'society' b'authority' b'competition' b'laughter' b'culture' b'tudors' b'handout' b'forum' 
--------7 paragraph: b'kings' b'time' b'subjects' b'initiatives' b'government' b'institutions' b'suffice' b'today' b'business' b'consequences' 
--------8 paragraph: b'powers' b'law' b'functions' b'king' b'realm' b'administration' b'time' b'justice' b'emergency' b'church' 
--------9 paragraph: b'authority' b'crown' b'dignity' b'church' b'century' b'pope' b'handout' b'regale' b'politicum' b'dominium' 
--------10 paragraph: b'council' b'members' b'advice' b'business' b'number' b'henry' b'vii' b'king' b'noblemen' b'councils' 
--------11 paragraph: b'law' b'king' b'name' b'government' b'functions' b'disputes' b'means' b'grievances' b'precedent' b'redress' 
--------12 paragraph: b'westminster' b'chamber' b'courts' b'star' b'royal' b'court' b'king' b'law' b'parliament' b'names' 
--------13 paragraph: b'court' b'chancellor' b'remedy' b'justice' b'law' b'cases' b'king' b'equity' b'principles' b'reason' 
--------14 paragraph: b'royal' b'circuits' b'justices' b'county' b'year' b'town' b'peace' b'cases' b'crimes' b'king' 
--------15 paragraph: b'house' b'parliament' b'representatives' b'counties' b'commons' b'members' b'franchise' b'city' b'nobility' b'church' 
--------16 paragraph: b'parliament' b'consent' b'commons' b'realm' b'laws' b'sovereignty' b'first' b'century' b'custom' b'king' 
--------17 paragraph: b'king' b'chamber' b'matters' b'royal' b'dues' b'taxes' b'exchequer' b'revenues' b'disbursement' b'collection' 
--------18 paragraph: b'henry' b'power' b'government' b'personalities' b'reigns' b'institutions' b'man' b'kings' b'son' b'way' 
--------19 paragraph: b'people' b'way' b'elites' b'others' b'nation' b'course' b'leaders' b'society' b'deal' b'members' 
--------20 paragraph: b'north' b'alnwick' b'border' b'part' b'percy' b'family' b'earls' b'power' b'northumberland' b'lands' 
--------21 paragraph: b'earls' b'service' b'retainers' b'nobility' b'army' b'king' b'gentry' b'farms' b'conditions' b'part' 
--------22 paragraph: b'men' b'rebels' b'shrewsbury' b'darcy' b'yorkshire' b'rebellion' b'advance' b'days' b'rebel' b'religion' 
--------23 paragraph: b'nobles' b'authority' b'king' b'influence' b'nobility' b'power' b'jurisdictions' b'england' b'part' b'period' 
--------24 paragraph: b'right' b'wars' b'paramount' b'york' b'henry' b'king' b'roses' b'abergavenny' b'lord' b'kent' 
--------25 paragraph: b'stanley' b'henry' b'battle' b'tudor' b'richard' b'iii' b'rule' b'effectiveness' b'groups' b'thomas' 
--------26 paragraph: b'propaganda' b'patronage' b'consultation' b'coercion' b'p' b'c' b'ways' 
--------27 paragraph: b'history' b'king' b'reign' b'lancaster' b'edward' b'york' b'monster' b'claim' b'shakespeare' b'authority' 
--------28 paragraph: b'henry' b'life' b'chips' b'tudor' b'portraits' b'kind' b'crisps' b'image' b'great' b'england' 
--------29 paragraph: b'display' b'power' b'art' b'pageants' b'cities' b'entries' b'subjects' b'houses' b'procession' b'area' 
--------30 paragraph: b'king' b'men' b'retainers' b'subjects' b'royal' b'lands' b'patronage' b'benefit' b'prominence' b'crown' 
--------31 paragraph: b'king' b'access' b'court' b'henry' b'chamber' b'groom' b'stool' b'consultation' b'system' b'patronage' 
--------32 paragraph: b'part' b'kind' b'henry' b'countries' b'concern' b'duties' b'matters' b'executive' b'year' b'counsel' 
--------33 paragraph: b'parliament' b'person' b'consent' b'king' b'nation' b'process' b'part' b'significance' b'session' b'years' 
--------34 paragraph: b'parliament' b'members' b'liberty' b'royal' b'forum' b'turn' b'elite' b'government' b'bills' b'light' 
--------35 paragraph: b'henry' b'attainder' b'parliament' b'acts' b'time' b'lordship' b'lands' b'interests' b'vii' b'viii' 
--------36 paragraph: b'bond' b'laws' b'bonds' b'example' b'nobleman' b'recognizance' b'affinity' b'damocles' b'sword' b'head' 
--------37 paragraph: b'henry' b'throne' b'buckingham' b'king' b'treason' b'claim' b'tower' b'london' b'childhood' b'moment' 
--------38 paragraph: b'order' b'court' b'torture' b'henry' b'viii' b'displeasure' b'council' b'trials' b'treason' b'procedures' 
