
transcript21-:
--------Lecture: b'image' b'brain' b'images' b'resonance' b'mr' b'body' b'field' b'radio' b'sound' b'kind' 
--------1 paragraph: b'body' b'image' b'tuesday' b'way' b'fraction' b'therefore' b'energy' b'passes' b'physics' b'tissues' 
--------2 paragraph: b'image' b'projections' b'source' b'patient' b'detector' b'object' b'ct' b'approaches' b'reconstruction' b'angles' 
--------3 paragraph: b'images' b'tissues' b'radiation' b'body' b'qualities' b'lot' b'problems' b'time' b'alternative' b'patient' 
--------4 paragraph: b'tissue' b'image' b'absorbance' b'contrast' b'radiation' b'lungs' b'blood' b'heart' b'muscle' b'bone' 
--------5 paragraph: b'air' b'way' b'something' b'contrast' b'patient' b'everything' b'solution' b'barium' b'intestine' b'time' 
--------6 paragraph: b'dipole' b'field' b'atoms' b'nuclei' b'way' b'protons' b'images' b'mr' b'bone' b'chemists' 
--------7 paragraph: b'proton' b'hydrogen' b'atom' b'radio' b'frequency' b'field' b'protons' b'energy' b'emission' b'solution' 
--------8 paragraph: b'resonance' b'field' b'radio' b'frequency' b'number' b'nuclei' b'molecule' b'molecules' b'ions' b'energy' 
--------9 paragraph: b'name' b'resonance' b'thing' b'kind' b'mri' b'energy' b'sources' b'concerns' b'nuclei' b'approach' 
--------10 paragraph: b'field' b'tesla' b'earth' b'gauss' b'fields' b'resonance' b'unit' b'physics' b'a' b'x' 
--------11 paragraph: b'center' b'anything' b'basement' b'pockets' b'anlyan' b'yale' b'mr' b'fields' b'machines' b'cards' 
--------12 paragraph: b'fields' b'people' b'metal' b'street' b'resonance' b'imaging' b'room' b'risks' b'afternoon' b'center' 
--------13 paragraph: b'patient' b'hole' b'cylinder' b'middle' b'belt' b'conveyor' b'cart' b'instrument' b'time' b'scanner' 
--------14 paragraph: b'image' b'time' b'quality' b'field' b'patient' b'images' b'space' b'machine' b'people' b'detectors' 
--------15 paragraph: b'radio' b'kinds' b'fields' b'order' b'machine' b'things' b'object' b'field' b'frequency' b'frequencies' 
--------16 paragraph: b'resonance' b'water' b'hydrogen' b'atoms' b'field' b'bodies' b'all' b'molecules' b'fact' b'body' 
--------17 paragraph: b'molecules' b'field' b'alignment' b'motion' b'kind' b'cylinder' b'frequency' b'radio' b'way' b'tips' 
--------18 paragraph: b'atoms' b'frequency' b'radio' b'body' b'field' b'hydrogen' b'waves' b'mr' b'alignment' b'example' 
--------19 paragraph: b'position' b'equilibrium' b'procession' b'atoms' b'magnet' b'mr' b'nuclei' b'signal' b'device' b'relaxation' 
--------20 paragraph: b'quantum' b'physics' b'thing' b'mechanics' b'description' b'detail' b'tools' b'mr' b'way' b'sort' 
--------21 paragraph: b'radiation' b'fields' b'radio' b'frequency' b'exposure' b'effects' b'ill' b'tissues' b'signals' b'stations' 
--------22 paragraph: b'patient' b'images' b'part' b'body' b'instrument' b'mr' b'brain' b'head' b'image' b'ct' 
--------23 paragraph: b'brain' b'image' b'section' b'distinction' b'matter' b'contrast' b'kinds' b'frequency' b'radio' b'pulses' 
--------24 paragraph: b'tissues' b'contrast' b'heart' b'lot' b'mr' b'properties' b'ct' b'blood' b'look' b'remember' 
--------25 paragraph: b'blood' b'brain' b'water' b'regions' b'velocity' b'flow' b'lot' b'vessels' b'imaging' b'place' 
--------26 paragraph: b'blood' b'oxygen' b'tissue' b'flow' b'region' b'rate' b'consumption' b'differences' b'difference' 
--------27 paragraph: b'regions' b'tissue' b'brain' b'lot' b'functions' b'oxygen' b'region' b'activity' b'approach' b'cells' 
--------28 paragraph: b'time' b'picture' b'image' b'resolution' b'changes' b'brain' b'fmri' b'consumption' b'oxygen' b'anatomy' 
--------29 paragraph: b'oxygen' b'activity' b'image' b'images' b'sequence' b'time' b'anatomy' b'blood' b'picture' b'imaging' 
--------30 paragraph: b'brain' b'speech' b'english' b'picture' b'area' b'experience' b'language' b'kind' b'spanish' b'portion' 
--------31 paragraph: b'brain' b'sorts' b'parts' b'scans' b'case' b'patients' b'tissue' b'experiments' b'structure' b'psychology' 
--------32 paragraph: b'waves' b'pressure' b'radiation' b'medium' b'apparatus' b'mr' b'advantage' b'shares' b'kind' b'a' 
--------33 paragraph: b'frequency' b'range' b'imaging' b'techniques' b'ways' b'sound' b'motion' b'second' b'structure' b'method' 
